id,version,best_price,fuel_cleaned,car_type_cleaned,transmission_cleaned
321,GLS,0,Hybrid,SUV,Automatic
322,Emotion,0,Hybrid,SUV,Automatic
323,AWD,0,Electric,SUV,Automatic
324,V2L,0,Electric,SUV,Automatic
325,RWD,0,Electric,SUV,Automatic
326,1.6 T,0,Electric,SUV,Automatic
328,5p Prime-Line,0,Hybrid,Compact,Automatic
329,Prime-Line,0,Gasoline,Roadster,Manual
330,Center-Line,0,Gasoline,Compact,Automatic
331,2.0 TDI,0,Plug-in Hybrid,SUV,Automatic
332,R-EV,0,Plug-in Hybrid,SUV,Automatic
333,SedÃ¡n,0,Gasoline,Sedan,Manual
334,M Hybrid,0,Hybrid,SUV,Automatic
335,250e,0,Plug-in Hybrid,Compact,Automatic
336,300e,0,Hybrid,Sedan,Automatic
337,200 CoupÃ©,0,Gasoline,CoupÃ©,Automatic
338,500,0,Diesel,Four-wheel-drive,Automatic
339,Suv Tourer,0,Gasoline,SUV,Automatic
340,SL 43,0,Electric,Roadster,Automatic
341,250,0,Electric,SUV,Automatic
342,200d,0,Diesel,Four-wheel-drive,Automatic
343,350 d 4MATIC,0,Plug-in Hybrid,Sedan,Automatic
344,250e,0,Hybrid,SUV,Automatic
345,350d 4MATIC,0,Gasoline,SUV,Automatic
346,300,0,Plug-in Hybrid,SUV,Automatic
347,Elegant,0,Hybrid,SUV,Automatic
348,Luxury 450e,0,Electric,SUV,Automatic
349,350h,0,Plug-in Hybrid,SUV,Automatic
350,450h,0,Hybrid,SUV,Automatic
351,V6,0,Hybrid,Van,Automatic
352,300h,0,Hybrid,Sedan,Automatic
353,90 X-Dynamic SE,0,Gasoline,Four-wheel-drive,Automatic
354,Velar,0,Plug-in Hybrid,Four-wheel-drive,Automatic
355,e+,0,Electric,Sedan,Automatic
356,N-Connecta,0,Diesel,Van,Automatic
357,Tekna,0,Gasoline,Utilitario,Manual
358,L2H2 3.5T,0,Diesel Hybrid ,Utilitario,Automatic
359,V8,0,Plug-in Hybrid,Roadster,Automatic
360,800V,0,Gasoline,Roadster,Automatic
361,5.0 V8,0,Gasoline,Roadster,Automatic
362,4.7 V8 795,0,Gasoline,Roadster,Manual
363,4.7 i V8 32V,0,Gasoline,Roadster,Manual
364,4.2 V8,0,Gasoline,Roadster,Manual
365,MSRP,0,Plug-in Hybrid,Van,Automatic
366,V8 5.7,0,Gasoline,Sedan,Automatic
367,Modena Ultima,0,Gasoline,CoupÃ©,Automatic
368,Folgore,0,Gasoline,CoupÃ©,Automatic
369,Tech Edition 1.2T,0,Gasoline,Compact,Automatic
370,1.5 TD,0,Gasoline,Van,Manual
371,2.2 BlueHDi 120 S&S MT6,0,Diesel,Van,Manual
372,Select 1.5 Diesel 130CV,0,Diesel,Van,Manual
373,167,0,Diesel,Van,Manual
374,E,0,Electric,Sedan,Automatic
375,alture,0,Plug-in Hybrid,Sedan,Automatic
376,130 EAT8,0,Gasoline,Cabriolet,Manual
377,-E,0,Electric,SUV,Automatic
378,-E,0,Electric,Van,Automatic
379,-E,0,Electric,Van,Automatic
380,3.0 H2 L1,0,Diesel,Van,Manual
381,GTS,0,Gasoline,CoupÃ©,Automatic
382,4S,0,Electric,CoupÃ©,Automatic
383,Active PureTech 100,34500,Gasoline,Utilitario,Manual
384,Allure PureTech 130 (AutomÃ¡tico),42900,Gasoline,SUV,Automatic
385,GT PureTech 130 S&S EAT8,41900,Gasoline,SUV,Manual
386,1.5 BlueHDi S&S Allure Pack,52500,Diesel,SUV,Automatic
387,1.0 E-Hybrid Altitude 100CV,45600,Hybrid,SUV,Automatic
388,L1 BlueHDi 1.5L 100CV,39900,Diesel,Van,Manual
389,1.2T XHL 74kW (100cv) GS-Line,33900,Gasoline,Compact,Manual
391,1.2 Altitude 74kw (100CV),43000,Gasoline,SUV,Manual
392,Cross 120H Active Plus,39900,Hybrid,SUV,Automatic
393,Hybrid N-Connecta 145cv (AutomÃ¡tico),44600,Hybrid,SUV,Automatic
394,Acenta e-Power 190cv (AutomÃ¡tico),47600,Hybrid,SUV,Automatic
396,1.5DCI Evolution 100CV,36800,Diesel,Utilitario,Manual
397,E-TECH HÃ­brido Techno 105kW,42100,Hybrid,SUV,Automatic
398,Techno Mild Hybrid 160cv (AutomÃ¡tico),51400,Hybrid,SUV,Automatic
399,MÃ¡s 1.0 TSI 85kW (115cv),42400,Gasoline,SUV,Automatic
400,1.5 e-Skyactiv G Homura 66kW SedÃ¡n,38500,Gasoline,Compact,Automatic
401,MY25 1.5 E power 204CV Acenta,55800,Hybrid,Four-wheel-drive,Automatic
403,ST Line 1.0 Ecoboost Mhev 125CV,40600,Gasoline,Compact,Manual
404,A3 Sportback 30 TFSI Advance S tronic,48200,Gasoline,Compact,Automatic
405,1.0 TSI Selection SUV,41900,Gasoline,SUV,Manual
406,G15 Life 120kW (163 CV),60000,Gasoline,SUV,Manual
407,G15 Life Aut . 120kW (163,63600,Gasoline,SUV,Automatic
408,G15 4x2 Urban Plus 109kW,49300,Gasoline,SUV,Automatic
409,Sports D22 DTR 4X4 PRO,51700,Diesel,Four-wheel-drive,Manual
410,3.5 L2 H2 BHDI 140CV,56500,Diesel,Van,Manual
411,BlueHDi 130 Performance Line,51500,Diesel,SUV,Automatic
413,E-C3 Max 83kw 100% elÃ©ctrico,53800,Electric,SUV,Automatic
